model,dataset_size,test_size,param_id,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,accuracy,precision,recall,f1,roc_auc,colsample_bytree,learning_rate,subsample
XGBoost,2000,0.2,203,4.0,,,,300,0.99,0.9851485148514851,0.995,0.9900497512437811,0.999425,1.0,0.1,1.0
XGBoost,2000,0.2,204,6.0,,,,100,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.9996250000000001,1.0,0.1,0.8
XGBoost,2000,0.2,205,6.0,,,,100,0.99,0.9851485148514851,0.995,0.9900497512437811,0.999375,1.0,0.1,1.0
XGBoost,2000,0.2,206,6.0,,,,200,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.999675,1.0,0.1,0.8
XGBoost,2000,0.2,207,6.0,,,,200,0.99,0.9851485148514851,0.995,0.9900497512437811,0.9994000000000001,1.0,0.1,1.0
XGBoost,2000,0.2,208,6.0,,,,300,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.9996999999999999,1.0,0.1,0.8
XGBoost,2000,0.2,209,6.0,,,,300,0.99,0.9851485148514851,0.995,0.9900497512437811,0.999375,1.0,0.1,1.0
XGBoost,2000,0.2,210,8.0,,,,100,0.99,0.99,0.99,0.99,0.999575,1.0,0.1,0.8
XGBoost,2000,0.2,211,8.0,,,,100,0.99,0.9851485148514851,0.995,0.9900497512437811,0.99955,1.0,0.1,1.0
XGBoost,2000,0.2,212,8.0,,,,200,0.9925,0.9900497512437811,0.995,0.9925187032418953,0.9996,1.0,0.1,0.8
