model,dataset_size,test_size,param_id,colsample_bytree,learning_rate,max_depth,n_estimators,subsample,accuracy,precision,recall,f1,roc_auc
XGBoost,500,0.3,41,1.0,0.05,4,500,1.0,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9909333333333333
XGBoost,500,0.3,42,1.0,0.05,6,100,0.8,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9886222222222222
XGBoost,500,0.3,43,1.0,0.05,6,100,1.0,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9852444444444445
XGBoost,500,0.3,44,1.0,0.05,6,300,0.8,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9900444444444444
XGBoost,500,0.3,45,1.0,0.05,6,300,1.0,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9889777777777777
XGBoost,500,0.3,46,1.0,0.05,6,500,0.8,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9904
XGBoost,500,0.3,47,1.0,0.05,6,500,1.0,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9905777777777777
XGBoost,500,0.3,48,1.0,0.05,8,100,0.8,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9886222222222222
XGBoost,500,0.3,49,1.0,0.05,8,100,1.0,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9852444444444445
XGBoost,500,0.3,50,1.0,0.05,8,300,0.8,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9900444444444444
XGBoost,500,0.3,51,1.0,0.05,8,300,1.0,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9889777777777777
XGBoost,500,0.3,52,1.0,0.05,8,500,0.8,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9904
XGBoost,500,0.3,53,1.0,0.05,8,500,1.0,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9905777777777777
XGBoost,500,0.3,54,1.0,0.1,4,100,0.8,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9904
XGBoost,500,0.3,55,1.0,0.1,4,100,1.0,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9873777777777778
XGBoost,500,0.3,56,1.0,0.1,4,300,0.8,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9907555555555556
XGBoost,500,0.3,57,1.0,0.1,4,300,1.0,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9900444444444444
XGBoost,500,0.3,58,1.0,0.1,4,500,0.8,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9911111111111112
XGBoost,500,0.3,59,1.0,0.1,4,500,1.0,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9907555555555555
XGBoost,500,0.3,60,1.0,0.1,6,100,0.8,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9904
XGBoost,500,0.3,61,1.0,0.1,6,100,1.0,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9866666666666667
XGBoost,500,0.3,62,1.0,0.1,6,300,0.8,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9907555555555556
XGBoost,500,0.3,63,1.0,0.1,6,300,1.0,0.9333333333333333,0.922077922077922,0.9466666666666667,0.9342105263157895,0.9893333333333334
